Age,"Height, cm",Weight,Place of birth,Gold,Silver,Bronze,Total,Sport,Sex_F,Sex_M
28,165.0,60.0,117,0,0,0,0,2,1,0
28,186.0,120.0,144,0,0,0,0,4,0,1
26,160.0,50.0,62,0,0,0,0,2,1,0
25,200.0,81.0,72,0,0,0,0,2,0,1
27,190.0,100.0,11,0,0,0,0,2,0,1
25,178.0,64.0,29,0,0,0,0,2,1,0
35,180.0,71.0,62,0,0,0,0,8,0,1
25,170.0,58.0,178,0,0,0,0,2,1,0
16,170.0,60.0,149,0,0,0,0,6,1,0
38,187.0,89.0,46,0,0,0,0,3,0,1
22,175.0,63.0,184,0,0,0,0,2,1,0
22,158.0,60.0,151,0,0,0,0,20,1,0
31,188.0,72.0,89,0,0,0,0,16,1,0
22,171.0,70.0,26,0,0,0,0,11,1,0
19,171.0,56.0,62,0,0,0,0,13,1,0
23,177.0,65.0,89,0,0,0,0,6,1,0
31,179.0,70.0,89,0,0,0,0,1,1,0
28,195.0,84.0,26,0,0,0,0,6,0,1
23,168.0,58.0,145,0,0,0,0,2,1,0
28,170.0,63.0,7,0,0,0,0,6,1,0
32,185.0,74.0,89,0,0,0,0,16,0,1
29,170.0,79.0,83,0,0,0,0,9,0,1
21,189.0,75.0,90,0,0,0,0,2,0,1
29,188.0,120.0,0,0,0,0,0,4,0,1
23,175.0,58.0,84,0,0,0,0,2,1,0
23,171.0,59.0,11,0,1,1,2,6,1,0
30,177.0,66.0,57,0,0,0,0,11,0,1
21,183.0,64.0,186,0,0,0,0,2,1,0
28,171.0,58.0,7,0,0,0,0,10,1,0
29,176.0,65.0,116,0,0,0,0,2,0,1
25,193.0,94.0,36,0,0,0,0,2,0,1
19,191.0,73.0,186,0,0,0,0,2,0,1
21,172.0,60.0,74,0,0,0,0,2,0,1
32,160.0,50.0,145,0,0,0,0,2,1,0
23,163.0,52.0,66,0,0,0,0,5,1,0
20,178.0,66.0,75,0,0,0,0,2,0,1
56,180.0,78.0,70,0,0,0,0,13,0,1
18,163.0,58.0,184,0,0,0,0,6,1,0
21,189.0,65.0,148,0,0,0,0,2,0,1
27,184.0,73.0,49,0,0,0,0,15,0,1
28,170.0,61.0,81,0,0,0,0,5,1,0
27,170.0,55.0,167,0,0,1,1,9,1,0
34,187.0,143.0,70,0,0,0,0,2,0,1
22,184.0,60.0,73,0,0,0,0,2,0,1
24,169.0,63.0,66,0,0,0,0,10,1,0
25,198.0,96.0,144,0,0,0,0,16,0,1
29,190.0,98.0,32,0,0,0,0,6,0,1
40,189.0,85.0,11,0,0,0,0,9,0,1
26,175.0,56.0,49,0,0,0,0,2,1,0
30,172.0,54.0,7,0,0,0,0,2,0,1
28,170.0,73.0,77,0,0,0,0,2,0,1
25,182.0,72.0,62,0,0,0,0,2,0,1
29,157.0,58.0,97,0,0,0,0,10,1,0
29,191.0,81.0,61,0,0,0,0,11,0,1
28,178.0,68.0,127,0,0,0,0,7,0,1
24,184.0,79.0,150,0,0,0,0,6,0,1
23,173.0,53.0,159,0,0,0,0,15,1,0
24,167.0,62.0,81,0,0,0,0,5,1,0
33,180.0,68.0,167,0,0,0,0,2,0,1
24,161.0,48.0,32,0,0,0,0,7,1,0
27,190.0,80.0,135,0,0,0,0,15,0,1
23,178.0,55.0,144,0,0,0,0,2,1,0
20,176.0,68.0,49,0,0,0,0,6,1,0
39,173.0,59.0,186,0,0,0,0,20,1,0
19,180.0,73.0,18,0,0,0,0,6,0,1
25,182.0,90.0,108,0,0,0,0,1,0,1
26,175.0,66.0,93,0,0,0,0,4,0,1
32,163.0,55.0,117,0,0,0,0,4,0,1
26,189.0,80.0,70,0,0,0,0,2,0,1
25,160.0,55.0,13,0,0,0,0,4,0,1
27,168.0,66.0,184,0,0,0,0,4,0,1
24,175.0,64.0,139,0,0,0,0,2,0,1
31,170.0,66.0,93,0,0,0,0,15,0,1
24,170.0,59.0,151,0,0,0,0,5,1,0
28,174.0,58.0,70,0,0,0,0,8,1,0
27,167.0,58.0,0,0,0,0,0,11,1,0
28,172.0,60.0,89,0,0,0,0,2,1,0
25,180.0,79.0,11,0,0,0,0,3,1,0
26,182.0,65.0,66,0,0,0,0,16,1,0
22,162.0,50.0,104,0,0,0,0,6,1,0
27,169.0,56.0,70,0,0,0,0,13,1,0
29,173.0,63.0,70,0,0,0,0,21,1,0
24,175.0,57.0,144,0,0,0,0,2,1,0
27,196.0,94.0,70,0,0,0,0,2,0,1
19,168.0,66.0,186,0,1,0,1,6,1,0
33,191.0,72.0,57,0,0,0,0,2,1,0
30,167.0,59.0,59,0,0,0,0,2,0,1
25,168.0,62.0,59,0,0,0,0,2,0,1
21,195.0,88.0,162,0,0,0,0,2,0,1
31,178.0,70.0,62,0,0,0,0,2,0,1
30,180.0,70.0,70,0,0,0,0,11,1,0
29,173.0,62.0,11,0,0,0,0,11,0,1
23,156.0,44.0,59,0,0,0,0,2,1,0
24,168.0,46.0,59,0,0,0,0,2,1,0
27,173.0,64.0,151,0,0,0,0,3,1,0
26,173.0,58.0,151,0,0,0,0,9,1,0
21,173.0,58.0,151,0,0,0,0,2,1,0
22,180.0,75.0,135,0,0,0,0,6,0,1
24,150.0,43.0,186,0,0,0,0,5,1,0
29,175.0,75.0,32,0,0,0,0,20,0,1
23,163.0,59.0,178,0,0,0,0,2,1,0
31,155.0,57.0,57,0,0,0,0,1,1,0
24,167.0,60.0,62,0,0,0,0,4,0,1
21,170.0,60.0,57,0,1,0,1,6,1,0
19,164.0,46.0,184,0,0,0,0,7,1,0
23,185.0,76.0,89,0,0,0,0,6,0,1
25,172.0,60.0,0,0,0,0,0,6,1,0
23,165.0,65.0,179,0,0,0,0,4,0,1
26,168.0,49.0,179,0,0,0,0,2,1,0
33,183.0,88.0,179,0,0,0,0,16,0,1
29,195.0,88.0,179,0,0,0,0,16,0,1
18,173.0,60.0,179,0,0,0,0,19,1,0
30,187.0,73.0,179,0,0,0,0,16,0,1
27,176.0,54.0,179,0,0,0,0,2,0,1
21,172.0,60.0,3,0,0,0,0,4,0,1
